batch_id,run_number,cv_seed,train_seed,channel,signal_id,fold,subject,group,frequency,day,sound_level,target,true_idx,raw_pred_idx,adjusted_pred_idx,raw_conf,raw_is_corr,is_corr,raw_error_ms,adjusted_error_ms,adjustment_ms
20260626_181033,5,559348,869546,Ch1,10k:YM4aa_baseline_50,8,YM4aa,,10k,baseline,50,target1,32,32,32,0.4138597548007965,True,True,0.0,0.0,0.0
20260626_181033,5,559348,869546,Ch1,10k:YM4aa_baseline_50,8,YM4aa,,10k,baseline,50,target2,43,42,43,0.5097504258155823,False,True,0.04095997267759563,0.0,0.04095997267759563
20260626_181033,5,559348,869546,Ch1,10k:YM4aa_baseline_50,8,YM4aa,,10k,baseline,50,target3,55,55,55,0.552096962928772,True,True,0.0,0.0,0.0
20260626_181033,5,559348,869546,Ch1,10k:YM4aa_baseline_50,8,YM4aa,,10k,baseline,50,target4,87,87,87,0.28129568696022034,True,True,0.0,0.0,0.0
20260626_181033,5,559348,869546,Ch1,10k:YM4aa_baseline_70,9,YM4aa,,10k,baseline,70,target1,30,30,30,0.34441936016082764,True,True,0.0,0.0,0.0
20260626_181033,5,559348,869546,Ch1,10k:YM4aa_baseline_70,9,YM4aa,,10k,baseline,70,target2,41,41,41,0.4921250343322754,True,True,0.0,0.0,0.0
20260626_181033,5,559348,869546,Ch1,10k:YM4aa_baseline_70,9,YM4aa,,10k,baseline,70,target3,53,53,53,0.5328420400619507,True,True,0.0,0.0,0.0
20260626_181033,5,559348,869546,Ch1,10k:YM4aa_baseline_70,9,YM4aa,,10k,baseline,70,target4,89,87,89,0.1753682643175125,False,True,0.08191994535519126,0.0,0.08191994535519126
20260626_181033,5,559348,869546,Ch1,16k:YM4aa_baseline_30,10,YM4aa,,16k,baseline,30,target1,36,37,36,0.2729766070842743,False,True,0.04095997267759563,0.0,0.04095997267759563
20260626_181033,5,559348,869546,Ch1,16k:YM4aa_baseline_30,10,YM4aa,,16k,baseline,30,target2,47,46,47,0.42029380798339844,False,True,0.04095997267759563,0.0,0.04095997267759563
20260626_181033,5,559348,869546,Ch1,16k:YM4aa_baseline_30,10,YM4aa,,16k,baseline,30,target3,59,59,59,0.44903290271759033,True,True,0.0,0.0,0.0
20260626_181033,5,559348,869546,Ch1,16k:YM4aa_baseline_30,10,YM4aa,,16k,baseline,30,target4,91,92,91,0.17209677398204803,False,True,0.04095997267759563,0.0,0.04095997267759563
20260626_181033,5,559348,869546,Ch1,16k:YM4aa_baseline_60,7,YM4aa,,16k,baseline,60,target1,30,31,30,0.4319126307964325,False,True,0.04095997267759563,0.0,0.04095997267759563
20260626_181033,5,559348,869546,Ch1,16k:YM4aa_baseline_60,7,YM4aa,,16k,baseline,60,target2,42,41,42,0.44422921538352966,False,True,0.04095997267759563,0.0,0.04095997267759563
20260626_181033,5,559348,869546,Ch1,16k:YM4aa_baseline_60,7,YM4aa,,16k,baseline,60,target3,54,54,54,0.46056199073791504,True,True,0.0,0.0,0.0
20260626_181033,5,559348,869546,Ch1,16k:YM4aa_baseline_60,7,YM4aa,,16k,baseline,60,target4,89,88,89,0.21222002804279327,False,True,0.04095997267759563,0.0,0.04095997267759563
20260626_181033,5,559348,869546,Ch1,4k:YM4aa_baseline_40,1,YM4aa,,4k,baseline,40,target1,47,47,47,0.17435112595558167,True,True,0.0,0.0,0.0
20260626_181033,5,559348,869546,Ch1,4k:YM4aa_baseline_40,1,YM4aa,,4k,baseline,40,target2,56,58,56,0.259956419467926,False,True,0.08191994535519126,0.0,0.08191994535519126
20260626_181033,5,559348,869546,Ch1,4k:YM4aa_baseline_40,1,YM4aa,,4k,baseline,40,target3,73,71,73,0.21567033231258392,False,True,0.08191994535519126,0.0,0.08191994535519126
20260626_181033,5,559348,869546,Ch1,4k:YM4aa_baseline_40,1,YM4aa,,4k,baseline,40,target4,91,100,99,0.08717462420463562,False,False,0.3686397540983607,0.32767978142076504,0.04095997267759563
20260626_181033,5,559348,869546,Ch1,4k:YM4aa_baseline_60,9,YM4aa,,4k,baseline,60,target1,35,34,35,0.3544476628303528,False,True,0.04095997267759563,0.0,0.04095997267759563
