batch_id,run_number,cv_seed,train_seed,channel,signal_id,fold,subject,group,frequency,day,sound_level,target,true_idx,raw_pred_idx,adjusted_pred_idx,raw_conf,raw_is_corr,is_corr,raw_error_ms,adjusted_error_ms,adjustment_ms
20260623_144134,10,374043,229005,Ch1,10k:YM4aa_baseline_50,10,YM4aa,,10k,baseline,50,target1,32,32,32,0.35909608006477356,True,True,0.0,0.0,0.0
20260623_144134,10,374043,229005,Ch1,10k:YM4aa_baseline_50,10,YM4aa,,10k,baseline,50,target2,43,42,43,0.5337333083152771,False,True,0.04095997267759563,0.0,0.04095997267759563
20260623_144134,10,374043,229005,Ch1,10k:YM4aa_baseline_50,10,YM4aa,,10k,baseline,50,target3,55,55,55,0.45448994636535645,True,True,0.0,0.0,0.0
20260623_144134,10,374043,229005,Ch1,10k:YM4aa_baseline_50,10,YM4aa,,10k,baseline,50,target4,87,87,87,0.2159583419561386,True,True,0.0,0.0,0.0
20260623_144134,10,374043,229005,Ch1,10k:YM4aa_baseline_70,6,YM4aa,,10k,baseline,70,target1,30,31,30,0.3396150469779968,False,True,0.04095997267759563,0.0,0.04095997267759563
20260623_144134,10,374043,229005,Ch1,10k:YM4aa_baseline_70,6,YM4aa,,10k,baseline,70,target2,41,41,41,0.4857436418533325,True,True,0.0,0.0,0.0
20260623_144134,10,374043,229005,Ch1,10k:YM4aa_baseline_70,6,YM4aa,,10k,baseline,70,target3,53,53,53,0.5094379186630249,True,True,0.0,0.0,0.0
20260623_144134,10,374043,229005,Ch1,10k:YM4aa_baseline_70,6,YM4aa,,10k,baseline,70,target4,89,87,89,0.17948268353939056,False,True,0.08191994535519126,0.0,0.08191994535519126
20260623_144134,10,374043,229005,Ch1,16k:YM4aa_baseline_30,6,YM4aa,,16k,baseline,30,target1,36,37,36,0.3037203550338745,False,True,0.04095997267759563,0.0,0.04095997267759563
20260623_144134,10,374043,229005,Ch1,16k:YM4aa_baseline_30,6,YM4aa,,16k,baseline,30,target2,47,47,47,0.42507797479629517,True,True,0.0,0.0,0.0
20260623_144134,10,374043,229005,Ch1,16k:YM4aa_baseline_30,6,YM4aa,,16k,baseline,30,target3,59,59,59,0.47880008816719055,True,True,0.0,0.0,0.0
20260623_144134,10,374043,229005,Ch1,16k:YM4aa_baseline_30,6,YM4aa,,16k,baseline,30,target4,91,91,91,0.1717013269662857,True,True,0.0,0.0,0.0
20260623_144134,10,374043,229005,Ch1,16k:YM4aa_baseline_60,10,YM4aa,,16k,baseline,60,target1,30,31,30,0.33968207240104675,False,True,0.04095997267759563,0.0,0.04095997267759563
20260623_144134,10,374043,229005,Ch1,16k:YM4aa_baseline_60,10,YM4aa,,16k,baseline,60,target2,42,41,42,0.4020276963710785,False,True,0.04095997267759563,0.0,0.04095997267759563
20260623_144134,10,374043,229005,Ch1,16k:YM4aa_baseline_60,10,YM4aa,,16k,baseline,60,target3,54,53,54,0.4967409670352936,False,True,0.04095997267759563,0.0,0.04095997267759563
20260623_144134,10,374043,229005,Ch1,16k:YM4aa_baseline_60,10,YM4aa,,16k,baseline,60,target4,89,87,89,0.18758532404899597,False,True,0.08191994535519126,0.0,0.08191994535519126
20260623_144134,10,374043,229005,Ch1,4k:YM4aa_baseline_40,9,YM4aa,,4k,baseline,40,target1,47,47,47,0.2216404229402542,True,True,0.0,0.0,0.0
20260623_144134,10,374043,229005,Ch1,4k:YM4aa_baseline_40,9,YM4aa,,4k,baseline,40,target2,56,57,56,0.29029980301856995,False,True,0.04095997267759563,0.0,0.04095997267759563
20260623_144134,10,374043,229005,Ch1,4k:YM4aa_baseline_40,9,YM4aa,,4k,baseline,40,target3,73,71,73,0.30874085426330566,False,True,0.08191994535519126,0.0,0.08191994535519126
20260623_144134,10,374043,229005,Ch1,4k:YM4aa_baseline_40,9,YM4aa,,4k,baseline,40,target4,91,101,99,0.09528418630361557,False,False,0.4095997267759563,0.32767978142076504,0.08191994535519126
20260623_144134,10,374043,229005,Ch1,4k:YM4aa_baseline_60,1,YM4aa,,4k,baseline,60,target1,35,34,35,0.24625767767429352,False,True,0.04095997267759563,0.0,0.04095997267759563
